Propellent atomic Mass [amu], Ionization Energy [eV], Dissociation Energy [eV], Anode Mass Flow Rate [SCCM], Discharge Voltage [V], Cathode Mass Flow Rate [SCCM], Cathode Keeper Voltage [V], Beam Current [A], Thrust [mN], Discharge Current [A], Electromagnetic Inner Coil Current [A], Electromagnetic Outer, Coil Current [A]
131.293,12.1,NaN,6.92,300,2,NaN,0,9.6,0.607,1.9,1.6
131.293,12.1,NaN,6.92,300,2,NaN,0,9.6,0.625,1.9,1.6
131.293,12.1,NaN,6.92,300,2,NaN,0,9.8,0.649,1.7,1.4
131.293,12.1,NaN,7.89,300,2,NaN,0,11.5,0.711,2.25,1.85
131.293,12.1,NaN,7.89,300,2.5,NaN,0,11.8,0.729,2.25,1.85
131.293,12.1,NaN,7.89,300,2.5,NaN,0,11.3,0.72,2.25,1.85
131.293,12.1,NaN,8.88,300,2.5,NaN,0,13.8,0.833,3.2,3
131.293,12.1,NaN,8.88,300,2.5,NaN,0,13.7,0.83,2.66,2.16
131.293,12.1,NaN,8.88,300,2.5,NaN,0,13.5,0.827,2.25,1.85
131.293,12.1,NaN,9.87,300,2.5,NaN,0,15.6,0.936,2.66,2.16
131.293,12.1,NaN,9.87,300,2.5,NaN,0,15.6,0.939,2.66,2.16
131.293,12.1,NaN,10.3,300,2.5,NaN,0,16.3,0.982,2.25,1.85
131.293,12.1,NaN,10.45,300,2.5,NaN,0,16.6,1,2.25,1.85
131.293,12.1,NaN,6.92,300,2.5,NaN,0,10.1,0.618,2.25,1.85
131.293,12.1,NaN,6.92,300,2.5,NaN,0,10.3,0.628,2.25,1.85
131.293,12.1,NaN,7.89,300,2.5,NaN,0,11.9,0.725,2.25,1.85
131.293,12.1,NaN,8.88,300,2.5,NaN,0,13.8,0.836,2.66,2.16
131.293,12.1,NaN,8.88,300,2.5,NaN,0,14,0.844,2.66,2.16
131.293,12.1,NaN,9.87,300,2.5,NaN,0,16,0.943,2.25,1.85
131.293,12.1,NaN,10.85,300,2.5,NaN,0,17.9,1.048,2.25,1.85
131.293,12.1,NaN,10.85,300,2.5,NaN,0,18,1.045,2.25,1.85
131.293,12.1,NaN,12.83,300,2.5,NaN,0,22.1,1.257,2.25,1.85
131.293,12.1,NaN,7.12,250,2.5,NaN,0,9.2,0.641,1.9,1.6
131.293,12.1,NaN,7.12,250,2.5,NaN,0,9.5,0.64,2.25,1.85
131.293,12.1,NaN,7.12,250,2.5,NaN,0,9.4,0.64,2.25,1.85
