degree,train_r2,test_r2,test_mae_mN,test_rmse_mN
1,0.6181085207573345,0.5955350398253375,1.8680929313187928,2.4308739179816534
2,0.9555671277572851,0.9366500267373192,0.7043085932504985,0.9620445864067253
3,0.9916036274669132,0.9594306649709894,0.4950815949034423,0.7698762580030234
4,0.9983857546743556,-502.19737198270377,31.21647377581368,85.74151723188017
