Anode Mass Flow Rate [mg/s],Thrust [mN],Cathode Keeper Voltage [V],Discharge Voltage [V],Discharge Current [A],Beam Current [A],Electromagnetic Inner Coil Current [A],Electromagnetic Outer Coil Current [A],
18.8,10.95,0,275,0.689,0.514472727,3.2,1.4,
18.8,10.25,0,275,0.657,0.498763636,1.85,2.25,
18.8,10.3,0,275,0.657,0.502254545,2.16,2.66,
19,11.3,0,275,0.69,0.511636364,3.2,1.4,
19,10.9,0,275,0.667,0.500072727,1.85,2.25,
19,10.7,0,275,0.67,0.507054545,2.16,2.66,
19,9.7,0,221,0.678,0.498545455,3.2,1.4,
19,11.8,0,288,0.696,0.516654545,3.2,1.4,
19,12.35,0,310,0.711,0.526909091,3.2,1.4,
19,13.25,0,350,0.713,0.5256,3.2,1.4,
19,14.2,0,416,0.722,0.538909091,3.2,1.4,
19,14.65,0,476,0.736,0.541090909,3.2,1.4,
19,12.75,0,523,0.766,0.538036364,3.2,1.4,
19,10.4,0,543,0.776,0.536290909,3.2,1.4,
21.1,13.1,0,275,0.783,0.596727273,3.2,1.4,
21.1,12.45,0,275,0.772,0.590618182,1.85,2.25,
21.1,12.65,0,275,0.782,0.593236364,2.16,2.66,
23.5,14.85,0,275,0.896,0.677018182,3.2,1.4,
23.5,14.25,0,275,0.873,0.667636364,1.85,2.25,
23.5,14.45,0,275,0.885,0.677890909,2.16,2.66,
25.8,16.85,0,275,1,0.768436364,3.2,1.4,
25.8,16.1,0,275,0.973,0.757309091,1.85,2.25,
25.8,16.25,0,275,0.988,0.771709091,2.16,2.66,
28.2,18.6,0,275,1.121,0.862690909,3.2,1.4,
28.2,17.9,0,275,1.087,0.8496,1.85,2.25,
28.2,18,0,275,1.096,0.864436364,2.16,2.66,
19,10.55,0,250,0.688,0.502909091,3.2,1.4,
19,10.85,0,260,0.691,0.507272727,3.2,1.4,
19,11.25,0,270,0.695,0.5112,3.2,1.4,
19,11.5,0,280,0.697,0.514254545,3.2,1.4,
19,11.8,0,290,0.7,0.516654545,3.2,1.4,
19,12.05,0,300,0.702,0.518836364,3.2,1.4,
19,12.25,0,310,0.702,0.521018182,3.2,1.4,
19,12.45,0,320,0.703,0.5232,3.2,1.4,
19,12.65,0,330,0.705,0.525818182,3.2,1.4,
19,12.9,0,340,0.707,0.528,3.2,1.4,
19,13.05,0,350,0.706,0.529963636,3.2,1.4,
19,13.1,0,360,0.708,0.531927273,3.2,1.4,
19,13.35,0,370,0.707,0.533236364,3.2,1.4,
19,13.45,0,380,0.71,0.534545455,3.2,1.4,
19,13.6,0,390,0.711,0.536945455,3.2,1.4,
19,13.8,0,400,0.713,0.537163636,3.2,1.4,
19,14.1,0,410,0.718,0.5376,3.2,1.4,
19,14.06,0,420,0.718,0.531272727,3.2,1.4,
