Anode Mass Flow Rate [mg/s],Thrust [mN],Cathode Keeper Voltage [V],Discharge Voltage [V],Discharge Current [A],Beam Current [A],Electromagnetic Inner Coil Current [A],Electromagnetic Outer Coil Current [A],
28.9,14.4,54,250,1.25,0.997090909,4.11,1.8,
28.9,14.15,54,250,1.325,1.040727273,4.3,2.8,
34.3,16.2,31.2,200,1.75,1.259345455,2.29,1,
37.2,18.05,30.3,200,2,1.425163636,2.29,1,
40.3,20.05,29.7,200,2.25,1.6008,2.29,1,
31.9,14.45,31.6,200,1.554,1.1208,2.29,1,
28.9,14.95,31.3,250,1.486,1.049454545,2.29,1,
26.6,13.95,32.8,275,1.267,0.934036364,2.29,1,
31.9,14.25,31.7,200,1.508,1.104,2.51,1.1,
28.9,14.65,31.9,250,1.375,1.0224,2.51,1.1,
26.6,13.8,32.2,275,1.28,0.934254545,2.51,1.1,
22.8,8.65,33.3,200,1.09,0.711272727,1.83,0.8,
22.8,10.75,32.8,280,1.2,0.754909091,1.83,0.8,
35.5,16.5,62.2,200,1.75,1.303636364,2.74,1.2,
36.2,16.9,62.1,200,1.75,1.330909091,3.2,1.4,
36.8,16.95,61.5,200,1.75,1.349454545,4.11,1.8,
39,18.95,61.3,200,2,1.504363636,2.74,1.2,
39.6,19.3,61.2,200,2,1.521818182,3.2,1.4,
41,19.25,60.9,200,2,1.551272727,4.11,1.8,
42.1,21.2,60.6,200,2.25,1.674545455,2.74,1.2,
43,21.5,60.4,200,2.25,1.698545455,3.2,1.4,
44.7,21.85,60.2,200,2.25,1.735636364,4.11,1.8,
27.3,10,63.1,180,1.215,0.844363636,2.29,1,
28.9,9.7,62.5,160,1.36,0.876436364,2.29,1,
30.4,8.55,62.1,140,1.457,0.875127273,2.29,1,
31.9,8.3,61.8,130,1.55,0.890181818,2.29,1,
33.4,8.05,61.5,120,1.625,0.882545455,2.29,1,
36.5,6.1,61.4,100,1.7,0.767345455,2.29,1,
36.2,3.95,45.6,121,1.2,0.612436364,3.2,1.4,
36.2,4.2,45.5,133,1.2,0.645818182,4,2.4,
43.5,3.6,45.7,138,1.2,0.610909091,3,5,
21.7,11.95,52,248,1.618,1.241454545,2.7,1.2,
25.4,11.65,52,205,1.912,1.389818182,3.2,1.4,
22.5,13.7,50.7,262,1.712,1.347272727,2.7,1.3,
22.5,13.6,50.7,266,1.692,1.333090909,3,1.3,
20.3,10.65,49,250,1.685,1.147636364,1.7,1,
20.3,10.2,49.5,250,1.625,1.046836364,1.36,0.8,
20.3,10.7,49.5,250,1.59,1.066909091,1.53,0.9,
20.3,10.8,49.5,250,1.708,1.138909091,1.7,1,
20.3,10.85,49.5,250,1.685,1.138909091,1.78,1.05,
23.9,11.5,52,210,1.834,1.341818182,2.4,1.1,
23.9,11.9,52,210,1.907,1.372363636,2.18,1,
23.9,12.6,52,210,1.957,1.397454545,2,1,
23.9,12.2,52,210,1.935,1.3824,2.1,1.05,
23.9,12.15,52,210,1.885,1.365818182,2.2,1.1,
23.9,12.05,52,210,1.84,1.347272727,2.3,1.15,
23.9,12.1,52,210,1.795,1.328727273,2.4,1.2,
23.9,12.1,52,210,1.787,1.324363636,2.5,1.25,
23.9,12.05,52,210,1.78,1.322181818,2.6,1.3,
23.9,12,52,210,1.772,1.317818182,2.7,1.35,
22.5,9.95,61,200,1.75,1.178181818,1.9,0.95,
23.4,10.2,61.2,200,1.75,1.215272727,2,1,
24.1,10.85,61.8,200,1.75,1.258909091,2.2,1.1,
25.4,12.25,61.1,200,2,1.429090909,2,1,
25.9,12.45,61.3,200,2,1.453090909,2.4,1.2,
26.4,12.6,61.3,200,2,1.483636364,2.8,1.4,
27.1,13.75,60.7,200,2.25,1.612363636,2,1,
27.5,13.95,60.7,200,2.25,1.636363636,2.4,1.2,
28,14.2,60.7,200,2.25,1.669090909,2.8,1.4,
28.4,14.45,60.4,200,2.25,1.697454545,3.2,1.6,
20.3,7.35,61.4,190,1.465,0.896727273,1.4,0.7,
21.7,7.5,61.3,170,1.632,0.984,1.6,0.8,
25.4,9.4,61.3,170,1.835,1.234909091,2.4,1.2,
26.1,9,61.1,160,1.86,1.213090909,2.4,1.2,
35.9,8.1,50,172.5,1.7,1.017163636,3.2,1.8,
35.9,8.05,50,196,1.79,1.104,4,3.6,
35.9,9.2,50,200,2,1.261309091,4,3.6,
35.9,10.05,50,210,2.15,1.384363636,4.1,3.6,
37.5,9.1,50,199.8,2,1.234909091,4.3,3.8,
27.1,10.1,51,250,1.78,1.239272727,4.1,3.6,
27.1,9.4,51,244,1.64,1.128,4.3,3.8,
26.3,9.65,50,250,1.78,1.258909091,3.85,3.4,
26.3,9.7,50,250,1.758,1.241454545,4.1,3.6,
26.3,10.05,50,250,1.723,1.217454545,4.32,3.8,
26.3,9.9,50,250,1.711,1.206545455,4.45,3.9,
26.3,9.7,50,250,1.691,1.193454545,4.55,4,
34.9,11.45,60.4,200,2,1.429090909,1.65,1.35,
34.4,11.25,60.4,200,2,1.433454545,1.6,1.3,
31.9,8.75,61.4,200,1.75,1.147636364,3.85,3.4,
32.2,8.95,61,200,1.75,1.154181818,4.1,3.6,
32.6,8.85,61,200,1.75,1.158545455,4.32,3.8,
34.1,9.95,60.2,200,2,1.328727273,3.85,3.4,
34.4,10.15,60.2,200,2,1.326545455,4.1,3.6,
34.9,10.05,60.2,200,2,1.326545455,4.32,3.8,
35.9,11.1,59.5,200,2.25,1.494545455,3.85,3.4,
36.2,11,59.5,200,2.25,1.483636364,4.1,3.6,
36.7,11,59.5,200,2.25,1.483636364,4.32,3.8,
32.7,6.2,62.5,161.5,1.275,0.794181818,1.4,1,
32.7,6.25,63,167.5,1.275,0.816,1.4,1.23,
32.7,5.9,62.7,177,1.275,0.776727273,3.85,3.4,
32.7,4.7,64.5,155,1,0.6,1.4,1,
32.7,2.35,68.5,144,0.5,0.279272727,1.4,1,
30.3,6.6,63.7,177,1.275,0.837818182,1.4,1,
30.3,5.15,64.8,166,1,0.634909091,1.4,1,
30.3,2.45,68.4,150,0.5,0.281454545,1.4,1,
32.4,9.95,62,200,1.75,1.237090909,1.6,1.4,
33.8,11.1,62,200,2,1.413818182,1.6,1.4,
36,12.45,61.4,200,2.25,1.610181818,1.6,1.4,
31.1,10.2,61.5,210,1.925,1.313454545,3.65,3.2,
29.9,9.3,61.8,210,1.765,1.197818182,3.65,3.2,
27.9,8.15,62.7,210,1.535,1.034181818,3.65,3.2,
28.7,9,62,220,1.812,1.248,3.65,3.2,
27.9,9.15,62.3,220,1.69,1.160727273,3.65,3.2,
27.9,10.35,61.8,230,1.851,1.291636364,3.65,3.2,
27.5,9.85,61.5,230,1.771,1.232727273,3.85,3.4,
26.9,10.5,61.6,240,1.82,1.276363636,3.85,3.4,
26.7,10.2,61.8,240,1.766,1.241454545,4.1,3.6,
36.7,10.05,61.3,190,2.12,1.363636364,3.65,3.2,
35.1,9.55,61.6,190,2,1.287272727,3.65,3.2,
33.5,8.85,62,190,1.8,1.156363636,3.65,3.2,
31.9,7.85,62.3,190,1.595,1.021090909,3.65,3.2,
30.3,6.95,63.1,190,1.4,0.898909091,3.65,3.2,
29.5,6.5,63.5,190,1.31,0.837818182,3.65,3.2,
38.1,6.35,44.5,180,1.5,0.935781818,1.2,2.6,
43.2,4.9,44.5,195,1.5,0.876,2.5,5,
45.7,4.85,44.4,190,1.5,0.863345455,3,5.1,
45.7,5.4,44.4,160,1.5,0.857672727,1.6,1,
35.6,8.55,51,199,2.02,1.263490909,3.45,2.5,
35.6,8.5,51,204,1.96,1.243636364,4.1,3,
35.6,8.1,51,213,1.88,1.195636364,4.6,3.5,
35.6,9.3,51,212,2.13,1.365818182,3.45,2.5,
35.6,9.1,51,216,2.08,1.337454545,4.1,3,
35.6,8.95,51,219.5,2.055,1.323927273,4.6,3.5,
28,7.45,51,250,1.648,1.119272727,3.85,3.4,
28,7.85,51,250,1.626,1.102909091,4.1,3.6,
28,8.2,51,250,1.6,1.088727273,4.32,3.8,
28,7.9,51,250,1.583,1.073454545,4.45,3.9,
28,7.3,51,250,1.565,1.065818182,4.55,4,
32.4,7.4,61.3,200,1.75,1.119272727,3.85,3.4,
32.7,7.25,61.4,200,1.75,1.090909091,4.1,3.6,
33.8,7.1,61.2,200,1.75,1.106181818,4.32,3.8,
35.5,8.45,60.5,200,2,1.292945455,3.85,3.4,
36,8.6,60.6,200,2,1.293818182,4.1,3.6,
36.5,8.6,60.6,200,2,1.291636364,4.32,3.8,
36.7,9.3,59.7,200,2.25,1.456363636,3.85,3.4,
37.7,9.7,59.8,200,2.25,1.4544,4.1,3.6,
38.3,9.45,59.6,200,2.25,1.450909091,4.32,3.8,
30.5,5.2,62.8,200,1.205,0.778909091,3.64,3.2,
32.5,5.75,62.2,190,1.357,0.861818182,3.41,3,
34.6,5,63.2,180,1.175,0.728727273,3.41,3,
