Thrust [mN]_z,Cathode Keeper Voltage [V]_z,Discharge Voltage [V]_z,Discharge Current [A]_z,Anode Mass Flow Rate [SCCM]_robust,Beam Current [A]_robust,Electromagnetic Inner Coil Current [A]_robust,Electromagnetic Outer Coil Current [A]_robust,Specific_Thrust_mN_per_SCCM,Beam_to_Anode_Ratio
-0.8645353708174849,,0.39822140166006686,-1.019591902862,-0.26818181818181813,-1.1157358250839289,-1.368421052631579,0.0,1.3872832369942196,0.0
-0.8645353708174849,,0.39822140166006686,-0.9805180082979481,-0.26818181818181813,-1.1157358250839289,-1.368421052631579,0.0,1.3872832369942196,0.0
-0.8165951173656633,,0.39822140166006686,-0.9284194822125454,-0.26818181818181813,-1.1157358250839289,-1.5789473684210527,-0.23529411764705901,1.416184971098266,0.0
-0.4091029630251819,,0.39822140166006686,-0.7938316231585888,-0.17999999999999997,-1.1157358250839289,-1.0,0.2941176470588235,1.4575411913814955,0.0
-0.3371925828474497,,0.39822140166006686,-0.7547577285945368,-0.17999999999999997,-1.1157358250839289,-1.0,0.2941176470588235,1.4955640050697085,0.0
-0.4570432164770031,,0.39822140166006686,-0.7742946758765628,-0.17999999999999997,-1.1157358250839289,-1.0,0.2941176470588235,1.432192648922687,0.0
0.14220995167076395,,0.39822140166006686,-0.5289974488911255,-0.08999999999999986,-1.1157358250839289,0.0,1.6470588235294115,1.554054054054054,0.0
0.11823982494485293,,0.39822140166006686,-0.5355097646518009,-0.08999999999999986,-1.1157358250839289,-0.5684210526315788,0.6588235294117647,1.5427927927927925,0.0
0.07029957149303173,,0.39822140166006686,-0.5420220804124761,-0.08999999999999986,-1.1157358250839289,-1.0,0.2941176470588235,1.5202702702702702,0.0
0.573672232737156,,0.39822140166006686,-0.3054079411079391,0.0,-1.1157358250839289,-0.5684210526315788,0.6588235294117647,1.580547112462006,0.0
0.573672232737156,,0.39822140166006686,-0.298895625347264,0.0,-1.1157358250839289,-0.5684210526315788,0.6588235294117647,1.580547112462006,0.0
0.741463119818531,,0.39822140166006686,-0.20555243277758425,0.039090909090909225,-1.1157358250839289,-1.0,0.2941176470588235,1.5825242718446602,0.0
0.8133734999962632,,0.39822140166006686,-0.16647853821353226,0.052727272727272734,-1.1157358250839289,-1.0,0.2941176470588235,1.5885167464114835,0.0
-0.7446847371879315,,0.39822140166006686,-0.9957134117395239,-0.26818181818181813,-1.1157358250839289,-1.0,0.2941176470588235,1.4595375722543351,0.0
-0.6967444837361099,,0.39822140166006686,-0.9740056925372728,-0.26818181818181813,-1.1157358250839289,-1.0,0.2941176470588235,1.4884393063583816,0.0
-0.3132224561215391,,0.39822140166006686,-0.7634408162754373,-0.17999999999999997,-1.1157358250839289,-1.0,0.2941176470588235,1.508238276299113,0.0
0.14220995167076395,,0.39822140166006686,-0.5224851331304502,-0.08999999999999986,-1.1157358250839289,-0.5684210526315788,0.6588235294117647,1.554054054054054,0.0
0.19015020512258513,,0.39822140166006686,-0.5051189577686493,-0.08999999999999986,-1.1157358250839289,-0.5684210526315788,0.6588235294117647,1.5765765765765765,0.0
0.6695527396407988,,0.39822140166006686,-0.29021253766636357,0.0,-1.1157358250839289,-1.0,0.2941176470588235,1.6210739614994936,0.0
