Propellent atomic Mass [amu], Ionization Energy [eV], Dissociation Energy [eV], Anode Mass Flow Rate [SCCM], Discharge Voltage [V], Cathode Mass Flow Rate [SCCM], Cathode Keeper Voltage [V], Beam Current [A], Thrust [mN], Discharge Current [A], Electromagnetic Inner Coil Current [A], Electromagnetic Outer  Coil Current [A]
131.293,12.1,NaN,10.17,250,2.5,NaN,0,16.05,0.98,1.45,2.7
131.293,12.1,NaN,11.19,250,2.5,NaN,0,17.25,1.077,2.25,1.85
131.293,12.1,NaN,11.19,250,2.5,NaN,0,18.05,1.111,1.45,2.7
131.293,12.1,NaN,12.21,250,2.5,NaN,0,19.2,1.197,2.25,1.85
131.293,12.1,NaN,12.21,250,2.5,NaN,0,19.65,1.18,1.6,3.5
131.293,12.1,NaN,6.92,275,2.5,NaN,0,9.7,0.605,2.25,1.85
131.293,12.1,NaN,6.92,275,2.5,NaN,0,10.1,0.633,1.2,2.7
131.293,12.1,NaN,7.89,275,2.5,NaN,0,12.15,0.721,1.25,3
131.293,12.1,NaN,7.89,275,2.5,NaN,0,11.55,0.715,2.25,1.85
131.293,12.1,NaN,8,275,2.5,NaN,0,11.7,0.726,2.25,1.85
131.293,12.1,NaN,8,275,2.5,NaN,0,12.4,0.733,1.2,3
131.293,12.1,NaN,8.88,275,2.5,NaN,0,13.3,0.824,2.25,1.85
131.293,12.1,NaN,8.88,275,2.5,NaN,0,14.25,0.83,1.4,3
131.293,12.1,NaN,9.87,275,2.5,NaN,0,15.45,0.934,2.66,2.16
131.293,12.1,NaN,9.87,275,2.5,NaN,0,16.3,0.939,1.25,3.2
131.293,12.1,NaN,10.85,275,2.5,NaN,0,17.3,1.052,2.25,1.85
131.293,12.1,NaN,10.85,275,2.5,NaN,0,18.1,1.052,1.3,3
131.293,12.1,NaN,11.84,275,2.5,NaN,0,19.5,1.161,2.25,1.85
131.293,12.1,NaN,11.84,275,2.5,NaN,0,19.75,1.189,1.2,2.6
131.293,12.1,NaN,12.83,275,2.5,NaN,0,21.65,1.27,2.25,1.85
131.293,12.1,NaN,12.83,275,2.5,NaN,0,21.9,1.315,1.3,2.7
131.293,12.1,NaN,6.92,300,2.5,NaN,0,10.2,0.597,2.66,2.16
131.293,12.1,NaN,6.92,300,2.5,NaN,0,10.75,0.622,1.2,3.2
131.293,12.1,NaN,7.89,300,2.5,NaN,0,12.2,0.722,2.25,1.85
131.293,12.1,NaN,7.89,300,2.5,NaN,0,12.8,0.724,1.25,3
131.293,12.1,NaN,8,300,2.5,NaN,0,12.4,0.718,2.66,2.16
